MatrixSize	ThreadCount	TimeMs
100	1	7.29
100	2	3.33
100	4	3.68
100	8	4.10
100	16	5.37
200	1	53.19
200	2	26.65
200	4	14.02
200	8	12.68
200	16	11.15
300	1	120.93
300	2	80.78
300	4	46.59
300	8	37.22
300	16	35.09
400	1	307.81
400	2	252.87
400	4	98.61
400	8	86.54
400	16	110.60
500	1	753.12
500	2	302.99
500	4	181.84
500	8	119.77
500	16	106.77
600	1	1418.17
600	2	544.17
600	4	278.23
600	8	218.09
600	16	181.29
700	1	2198.90
700	2	919.70
700	4	547.81
700	8	321.43
700	16	291.57
800	1	3986.19
800	2	1470.81
800	4	681.03
800	8	560.92
800	16	474.62
900	1	5017.58
900	2	2155.99
900	4	1061.47
900	8	780.79
900	16	727.01
1000	1	6864.09
1000	2	2854.67
1000	4	1421.70
1000	8	1171.64
1000	16	1119.52
